"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310801001004","Commercial","Commercial","135,189","144,950","122,326","124,787","179,369","206,198","287,535","252,680","180,680","141,250","151,702","171,330","2,097,996","206","57","30,383","25,137","18,201","8,305","5,154","3,439","3,333","3,411","4,030","5,774","13,988","28,553","149,708","Less than 4","263,766","263,766","1,048,998","851,589.91","446,833","446,833","1,048,998","1,651,163","1,651,163","131,883","178,339.40","5,778","5,778","131,883","257,988","257,988","74,854","99,051.52","4,814","4,814","74,854","144,894","144,894","131,883","178,339.40","5,778","5,778","131,883","257,988","257,988","236","248","13.5","20","1.13","209","0.8427","128","0.612","209"
"Near North Side","170310801001004","Commercial","Multi 7+","7,833","18,325","14,039","6,012","4,702","4,600","9,189","9,539","9,313","8,855","13,470","15,063","120,940","13","3","784","763","494","342","241","170","143","136","129","166","303","717","4,388","4","22,235","22,235","120,940",,"120,940","120,940","120,940","120,940","120,940","22,235",,"22,235","22,235","22,235","22,235","22,235","4,388",,"4,388","4,388","4,388","4,388","4,388","22,235",,"22,235","22,235","22,235","22,235","22,235","236","248","4","0","1.13","209","0.8427","128","0.612","209"
"Near North Side","170310801002002","Commercial","Multi 7+","14,134","13,359","11,418","11,231","11,074","12,115","13,271","12,638","13,765","15,132","20,010","29,770","177,917","9","3","4,680","4,658","1,212","567","835","527","515","573","496","460","1,317","2,962","18,802","10","42,921","42,921","177,917",,"177,917","177,917","177,917","177,917","177,917","42,921",,"42,921","42,921","42,921","42,921","42,921","18,802",,"18,802","18,802","18,802","18,802","18,802","42,921",,"42,921","42,921","42,921","42,921","42,921","126","80","10","81","1.8","70","0.875","17","0.243","70"
"Near North Side","170310801002003","Commercial","Multi 7+","2,602,372","2,232,235","2,084,543","1,900,989","2,215,386","2,228,628","2,447,074","2,267,425","2,104,115","1,793,417","2,164,911","2,620,922","26,662,017","218","20","16,940","18,488","13,340","6,202","3,091","1,072","1,046","1,044","1,098","3,923","7,845","21,394","95,483","Less than 4","934,544","934,544","13,331,009","10,331,707.59","6,025,388","6,025,388","13,331,008.5","20,636,629","20,636,629","467,272","509,566.60","106,954","106,954","467,272","827,590","827,590","47,741.5","44,333.47","16,393","16,393","47,741.5","79,090","79,090","467,272","509,566.60","106,954","106,954","467,272","827,590","827,590","259","213","24","67","1.62","160","0.7512","16","0.1","160"
"Near North Side","170310801002005","Residential","Single Family","776","1,745","1,658","1,531","1,370","2,303","3,867","4,209","2,200","884","1,042","1,203","22,788","Less than 4","0","760","688","508","279","187","103","77","72","73","93","331","500","3,671","Less than 4","4,824","4,824","22,788",,"22,788","22,788","22,788","22,788","22,788","4,824",,"4,824","4,824","4,824","4,824","4,824","3,671",,"3,671","3,671","3,671","3,671","3,671","4,824",,"4,824","4,824","4,824","4,824","4,824","76","40","3","0","2.17","35","0.875","3","0.086","35"
"Near North Side","170310801002006","Commercial","Commercial","17,840","17,030","17,748","15,607","23,191","35,396","36,430","36,502","19,185","17,719","16,552","20,004","273,204","16","5","3,506","5,159","3,363","925","1,151","411","118","36","104","3,001","715","3,690","22,179","13","45,454","44,554","136,602","147,332.77","32,422","32,422","136,602","240,782","240,782","22,727","30,868.04","900","900","22,727","44,554","44,554","22,179",,"22,179","22,179","22,179","22,179","22,179","44,554",,"44,554","44,554","44,554","44,554","44,554","151","97","4","67","1.64","92","0.9484","36","0.391","92"
"Near North Side","170310801002006","Commercial","Multi < 7","56,573","48,769","43,435","39,279","46,700","55,180","56,372","58,229","42,603","43,691","46,322","64,201","601,354","14","21","3,122","3,081","2,120","1,195","730","295","220","210","198","313","940","2,399","14,823","5","31,059","28,559","120,270.8","128,743.31","28,522","69,651","70,638","85,078","347,465","6,211.8","5,155.58","2,500","3,931","4,145","5,212","15,271","3,705.75","5,146.88","970","1,038.5","1,215","6,373","11,423","7,139.75","5,449.71","3,931","4,038","4,678.5","10,241.5","15,271","151","97","4","117","1.64","92","0.9484","36","0.391","92"
"Near North Side","170310801002006","Residential","Multi 7+","0","0","0","3,768","4,038","4,041","4,180","4,043","3,900","3,897","4,433","4,847","37,147","Less than 4","20","484","492","317","234","213","192","181","184","169","176","194","366","3,202","Less than 4","12,301","12,301","37,147",,"37,147","37,147","37,147","37,147","37,147","12,301",,"12,301","12,301","12,301","12,301","12,301","3,202",,"3,202","3,202","3,202","3,202","3,202","12,301",,"12,301","12,301","12,301","12,301","12,301","151","97","3","84","1.64","92","0.9484","36","0.391","92"
"Near North Side","170310801002006","Residential","Multi < 7","144","187","1,018","929","970","1,763","4,289","1,654","1,430","1,301","1,564","1,852","17,101","Less than 4","4","331","263","173","74","33","22","19","20","19","24","33","171","1,182","Less than 4","3,926","3,926","17,101",,"17,101","17,101","17,101","17,101","17,101","3,926",,"3,926","3,926","3,926","3,926","3,926","1,182",,"1,182","1,182","1,182","1,182","1,182","3,926",,"3,926","3,926","3,926","3,926","3,926","151","97","4","124","1.64","92","0.9484","36","0.391","92"
"Near North Side","170310801003001","Residential","Multi 7+","37,478","20,027","20,736","10,486","14,700","17,279","17,158","18,140","13,992","15,581","25,219","39,227","250,023","9","1","949","963","757","595","461","368","313","335","277","311","453","770","6,552","Less than 4","27,665","27,665","125,011.5","154,913.66","15,471","15,471","125,011.5","234,552","234,552","13,832.5","11,932.43","5,395","5,395","13,832.5","22,270","22,270","3,276","1,648.97","2,110","2,110","3,276","4,442","4,442","13,832.5","11,932.43","5,395","5,395","13,832.5","22,270","22,270","116","64","4.5","109","1.97","59","0.9218","7","0.119","59"
"Near North Side","170310801003001","Residential","Multi < 7","3,528","3,011","2,196","1,903","1,953","2,283","3,119","2,955","1,915","1,510","2,364","2,320","29,057","Less than 4","0","1,041","1,020","666","387","236","107","57","53","44","83","249","838","4,781","Less than 4","7,607","7,607","14,528.5","12,164.36","5,927","5,927","14,528.5","23,130","23,130","3,803.5","58.69","3,762","3,762","3,803.5","3,845","3,845","2,390.5","286.38","2,188","2,188","2,390.5","2,593","2,593","3,803.5","58.69","3,762","3,762","3,803.5","3,845","3,845","116","64","3","109","1.97","59","0.9218","7","0.119","59"
"Near North Side","170310801003001","Residential","Single Family","12,335","12,377","13,837","10,024","14,444","18,194","16,890","18,989","12,876","12,978","16,761","20,761","180,466","6","0","2,322","2,501","1,832","1,166","416","226","202","172","188","224","463","1,678","11,390","7","3,700",,"60,155.33","60,900.38","11,044","11,044","41,123","128,299","128,299","3,700",,"3,700","3,700","3,700","3,700","3,700","11,390",,"11,390","11,390","11,390","11,390","11,390",,,,,,,,"116","64","3","0","1.97","59","0.9218","7","0.119","59"
"Near North Side","170310801004003","Commercial","Commercial","145,561","142,443","132,492","133,608","177,892","239,236","277,575","243,179","165,411","167,183","157,601","185,841","2,168,022","189","15","64,888","53,432","39,787","22,143","15,307","6,840","5,606","5,565","7,132","16,294","33,061","64,468","334,523","4","709,743","732,636","722,674","1,033,867.92","69,920","69,920","183,420","1,914,682","1,914,682","236,581","359,927.17","25,427","25,427","32,145","652,171","652,171","83,630.75","151,592.34","203","4,347.5","11,741","162,914","310,838","183,159","312,699.03","22,893","24,160","28,786","342,158","652,171","376","276","11.5","38.5","1.67","225","0.8151","34","0.151","225"
"Near North Side","170310801004003","Commercial","Multi 7+","202,895","203,336","211,685","175,080","261,376","355,913","338,388","330,060","208,413","216,164","237,965","241,141","2,982,416","Less than 4","1","64,426","52,156","39,168","19,282","13,402","3,023","3,296","2,829","3,960","16,268","35,662","62,546","316,018","57","556,656","556,656","1,491,208","1,033,522.83","760,397","760,397","1,491,208","2,222,019","2,222,019","278,328","222,751.36","120,819","120,819","278,328","435,837","435,837","158,009","101,186.98","86,459","86,459","158,009","229,559","229,559","278,328","222,751.36","120,819","120,819","278,328","435,837","435,837","376","276","20.5","79.5","1.67","225","0.8151","34","0.151","225"
"Near North Side","170310801004005","Residential","Multi < 7","7,435","8,441","6,556","6,360","9,311","16,855","17,410","14,411","7,156","6,664","11,143","11,615","123,357","7","7","3,330","4,513","3,068","1,800","853","316","183","191","172","301","1,310","4,010","20,047","4","34,439","34,439","30,839.25","18,447.09","10,529","16,394.5","29,940","45,284","52,948","8,609.75","3,050.36","6,765","6,797.5","7,267","10,422","13,140","5,011.75","1,707.08","3,222","3,756","4,796","6,267.5","7,233","8,609.75","3,050.36","6,765","6,797.5","7,267","10,422","13,140","24","11","3.25","104.75","2.67","9","0.8181","2","0.222","9"
"Near North Side","170310801004008","Residential","Single Family","9,860","9,293","8,540","8,030","12,435","15,290","15,338","14,664","12,523","9,512","9,754","11,615","136,854","Less than 4","0","1,867","1,881","1,082","630","527","241","237","243","214","323","608","1,661","9,514","Less than 4","18,251","18,251","45,618","34,543.13","8,440","8,440","51,694","76,720","76,720","6,083.67","1,561.88","5,091","5,091","5,276","7,884","7,884","3,171.33","1,257.03","1,867","1,867","3,272","4,375","4,375","6,083.67","1,561.88","5,091","5,091","5,276","7,884","7,884","9","3","3.67","12.67","3","3","1","0","0","3"
"Near North Side","170310802023000","Residential","Single Family","8,381","11,189","12,009","10,351","10,502","11,266","22,674","21,984","10,680","8,567","9,065","15,405","152,073","5","2","1,415","1,303","1,004","469","290","158","133","134","129","171","306","1,131","6,643","5","5,346","5,346","76,036.5","48,055.68","42,056","42,056","76,036.5","110,017","110,017","2,673","0.00","2,673","2,673","2,673","2,673","2,673","3,321.5","85.56","3,261","3,261","3,321.5","3,382","3,382","2,673","0.00","2,673","2,673","2,673","2,673","2,673","166","99","1","67","1.91","87","0.8787","5","0.057","87"
"Near North Side","170310801004009","Residential","Multi < 7","2,676","2,130","1,273","909","848","916","1,325","1,519","1,127","1,137","2,280","3,094","19,234","Less than 4","0","749","748","560","413","239","131","127","117","111","125","211","559","4,090","Less than 4","6,668","6,668","19,234",,"19,234","19,234","19,234","19,234","19,234","6,668",,"6,668","6,668","6,668","6,668","6,668","4,090",,"4,090","4,090","4,090","4,090","4,090","6,668",,"6,668","6,668","6,668","6,668","6,668","90","57","4","83","1.76","51","0.8946","3","0.059","51"
"Near North Side","170310801005003","Commercial","Commercial","35,419","34,547","37,370","32,200","45,727","76,547","79,916","79,040","49,119","42,309","41,820","48,047","602,061","50","3","27,853","23,306","17,066","9,513","5,450","1,773","1,718","1,681","2,268","7,876","15,297","26,104","139,905","35","142,040","142,040","602,061",,"602,061","602,061","602,061","602,061","602,061","142,040",,"142,040","142,040","142,040","142,040","142,040","139,905",,"139,905","139,905","139,905","139,905","139,905","142,040",,"142,040","142,040","142,040","142,040","142,040","0","0","18","82","0","0",,"0",,"0"
"Near North Side","170310801005004","Commercial","Commercial","2,646","1,776","1,566","1,110","1,261","1,476","6,505","3,549","1,829","1,548","2,790","2,809","28,865","Less than 4","2","2,490","2,511","1,739","1,056","632","143","43","32","31","99","817","2,478","12,071","4","6,248","22,509","28,865",,"28,865","28,865","28,865","28,865","28,865","6,248",,"6,248","6,248","6,248","6,248","6,248","6,035.5","2,758.42","4,085","4,085","6,035.5","7,986","7,986","11,254.5","7,080.26","6,248","6,248","11,254.5","16,261","16,261","35","23","2.5","0","3.18","11","0.4783","2","0.182","11"
"Near North Side","170310801005004","Commercial","Multi < 7","5,317","7,298","6,628","5,734","7,292","8,630","12,437","13,507","11,047","10,522","10,544","11,184","110,140","14","10","9,580","10,576","7,424","4,241","2,868","576","320","370","307","977","3,845","8,679","49,763","5","53,291","61,754","36,713.33","22,118.63","17,695","17,695","31,459","60,986","60,986","17,763.67","16,566.83","6,704","6,704","9,776","36,811","36,811","12,440.75","15,431.62","877","3,502","6,852","21,379.5","35,182","15,438.5","14,303.81","6,704","7,583.5","9,119.5","23,293.5","36,811","35","23","4.25","76.25","3.18","11","0.4783","2","0.182","11"
"Near North Side","170310801005004","Residential","Multi < 7","21,406","17,808","19,146","21,158","27,313","34,791","31,961","30,595","26,696","24,297","22,208","23,693","301,072","Less than 4","0","2,140","2,084","1,494","728","1,327","447","568","932","552","1,287","1,164","2,149","14,872","Less than 4","17,851","13,651","100,357.3","92,719.91","28,447","28,447","67,620","205,005","205,005","5,950.33","1,611.34","4,200","4,200","6,279","7,372","7,372","7,436","4,809.74","4,035","4,035","7,436","10,837","10,837","6,825.5","772.87","6,279","6,279","6,825.5","7,372","7,372","35","23","3.67","111.33","3.18","11","0.4783","2","0.182","11"
"Near North Side","170310801005004","Residential","Single Family","1,829","1,829","1,829","766","7,338","11,138","12,787","13,663","11,672","9,518","11,126","14,519","98,014","Less than 4","0","1,333","1,287","558","383","285","145","129","133","135","151","313","970","5,822","Less than 4","8,061","8,061","49,007","42,610.25","18,877","18,877","49,007","79,137","79,137","4,030.5","396.69","3,750","3,750","4,030.5","4,311","4,311","2,911","995.61","2,207","2,207","2,911","3,615","3,615","4,030.5","396.69","3,750","3,750","4,030.5","4,311","4,311","35","23","3.5","0","3.18","11","0.4783","2","0.182","11"
"Near North Side","170310804001006","Residential","Multi < 7","1,862","1,697","1,551","1,846","2,388","3,572","4,098","3,773","2,161","3,212","3,128","3,797","33,085","9","1","1,126","1,303","1,354","553","232","148","120","111","81","110","201","708","6,047","8","5,870","5,870","16,542.5","16,853.89","4,625","4,625","16,542.5","28,460","28,460","2,935","1,152.58","2,120","2,120","2,935","3,750","3,750","3,023.5","436.28","2,715","2,715","3,023.5","3,332","3,332","2,935","1,152.58","2,120","2,120","2,935","3,750","3,750","163","84","1.5","130","1.73","80","0.9523","35","0.4379","80"
"Near North Side","170310801005005","Commercial","Multi < 7","1,809","1,751","1,606","1,645","1,606","1,776","1,953","1,851","9,566","1,948","2,318","2,694","30,523","4","2","2,467","2,256","1,594","834","666","188","129","141","295","1,335","680","1,553","12,138","Less than 4","11,516","11,516","15,261.5","15,398.66","4,373","4,373","15,261.5","26,150","26,150","5,758","1,231.78","4,887","4,887","5,758","6,629","6,629","6,069","2,129.81","4,563","4,563","6,069","7,575","7,575","5,758","1,231.78","4,887","4,887","5,758","6,629","6,629","166","122","3.5","116.5","1.57","106","0.8689","18","0.17","106"
"Near North Side","170310801005005","Residential","Multi 7+","217,857","217,764","102,270","54,321","70,652","80,970","101,669","87,573","55,529","63,444","169,488","245,138","1,466,675","53","4","4,541","4,189","3,617","2,292","1,843","1,399","1,497","1,240","1,503","1,478","2,419","3,635","29,653","6","190,229","190,229","488,891.7","718,275.74","59,319","59,319","89,251","1,318,105","1,318,105","63,409.67","93,347.37","7,331","7,331","11,730","171,168","171,168","9,884.33","6,061.93","5,553","5,553","7,288","16,812","16,812","63,409.67","93,347.37","7,331","7,331","11,730","171,168","171,168","166","122","9.33","64.67","1.57","106","0.8689","18","0.17","106"
"Near North Side","170310801005005","Residential","Multi < 7","14,447","11,749","8,881","8,622","6,096","12,143","14,424","15,333","12,445","10,788","11,919","13,760","140,607","Less than 4","1","3,854","2,115","1,827","1,783","552","421","421","327","518","673","1,244","2,551","16,286","4","17,081","22,355","46,869","17,590.30","29,589","29,589","46,264","64,754","64,754","5,693.67","1,576.00","4,116","4,116","5,697","7,268","7,268","4,071.5","1,058.85","3,295","3,375.5","3,691.5","4,767.5","5,608","5,588.75","1,303.80","4,116","4,695","5,485.5","6,482.5","7,268","166","122","3","94.5","1.57","106","0.8689","18","0.17","106"
"Near North Side","170310801005005","Residential","Single Family","5,806","4,652","4,727","3,685","4,123","7,680","9,935","9,177","4,380","4,033","4,789","8,790","71,777","Less than 4","0","1,939","1,892","1,267","674","347","150","135","134","128","159","468","1,524","8,817","Less than 4","14,254","14,254","35,888.5","6,722.46","31,135","31,135","35,888.5","40,642","40,642","7,127","5,488.56","3,246","3,246","7,127","11,008","11,008","4,408.5","2,943.69","2,327","2,327","4,408.5","6,490","6,490","7,127","5,488.56","3,246","3,246","7,127","11,008","11,008","166","122","4","0","1.57","106","0.8689","18","0.17","106"
